Subject,Group,Block,Trial,Emotion,SameDiff,Gender,ACC,RT
10,1,3,51,neu,diff,female,1,833
10,1,3,52,neg,same,female,1,576
10,1,3,53,neu,same,female,1,684
10,1,3,54,neg,same,female,1,733
10,1,3,55,pos,diff,female,1,633
10,1,4,1,neg,diff,male,0,NA
10,1,4,2,neu,diff,male,0,NA
10,1,4,3,neu,diff,male,1,828
10,1,4,4,neu,same,male,1,907
10,1,4,5,neu,same,male,1,618
10,1,4,6,neu,same,male,1,957
10,1,4,7,neu,same,male,1,740
10,1,4,8,neu,same,male,1,559
10,1,4,9,neg,diff,male,1,808
10,1,4,10,pos,diff,male,1,753
10,1,4,11,pos,diff,male,1,800
10,1,4,12,pos,same,male,1,697
10,1,4,13,pos,same,male,1,589
10,1,4,14,pos,same,male,1,428
10,1,4,15,pos,same,male,1,714
10,1,4,16,neg,diff,male,1,545
10,1,4,17,pos,same,male,1,503
10,1,4,18,neu,diff,male,1,867
10,1,4,19,neg,diff,male,0,1002
10,1,4,20,neu,same,male,1,699
10,1,4,21,neg,same,male,1,831
10,1,4,22,neu,same,male,1,1086
10,1,4,23,pos,diff,male,1,495
10,1,4,24,neu,same,male,1,443
10,1,4,25,pos,same,male,1,844
10,1,4,26,neg,diff,male,1,621
10,1,4,27,pos,same,male,1,593
10,1,4,28,neu,diff,male,1,768
10,1,4,29,pos,same,male,1,497
10,1,4,30,neg,diff,male,1,685
10,1,4,31,neg,diff,male,1,638
10,1,4,32,neg,same,male,0,1127
10,1,4,33,neg,same,male,1,945
10,1,4,34,neu,diff,male,1,823
10,1,4,35,neg,same,male,1,531
10,1,4,36,neu,same,male,1,663
10,1,4,37,neu,diff,male,1,739
10,1,4,38,pos,diff,male,1,959
10,1,4,39,neu,same,male,1,904
10,1,4,40,neu,diff,male,1,788
10,1,4,41,neg,diff,male,1,778
10,1,4,42,neu,same,male,1,1006
10,1,4,43,pos,diff,male,1,703
10,1,4,44,neg,diff,male,1,755
10,1,4,45,pos,same,male,1,498
10,1,4,46,neu,diff,male,0,654
10,1,4,47,pos,same,male,1,569
10,1,4,48,neu,same,male,1,995
10,1,4,49,pos,same,male,1,417
10,1,4,50,neu,same,male,1,685
10,1,4,51,neu,diff,male,1,670
10,1,4,52,neu,same,male,1,749
10,1,4,53,neg,diff,male,1,732
10,1,4,54,pos,diff,male,1,695
10,1,4,55,pos,diff,male,1,587
10,1,5,1,neg,diff,female,0,NA
10,1,5,2,pos,diff,female,0,NA
10,1,5,3,neu,diff,female,1,817
10,1,5,4,neg,diff,female,1,717
10,1,5,5,neg,diff,female,1,1059
10,1,5,6,neg,same,female,1,1088
10,1,5,7,neg,same,female,1,673
10,1,5,8,neu,diff,female,1,704
10,1,5,9,neg,same,female,1,611
10,1,5,10,pos,diff,female,1,743
10,1,5,11,pos,diff,female,1,931
10,1,5,12,neg,diff,female,1,791
10,1,5,13,neg,diff,female,1,734
10,1,5,14,neg,same,female,1,618
10,1,5,15,neg,same,female,1,638
10,1,5,16,neu,diff,female,1,835
10,1,5,17,pos,diff,female,1,658
10,1,5,18,neu,same,female,1,894
10,1,5,19,neg,diff,female,1,666
10,1,5,20,neu,same,female,1,728
10,1,5,21,neg,same,female,1,881
10,1,5,22,neu,same,female,1,731
10,1,5,23,neg,same,female,1,663
10,1,5,24,neu,same,female,1,467
10,1,5,25,neg,same,female,1,601
10,1,5,26,neu,same,female,1,666
10,1,5,27,neg,same,female,1,553
10,1,5,28,pos,diff,female,1,1055
10,1,5,29,neu,diff,female,1,891
10,1,5,30,neu,diff,female,1,887
10,1,5,31,neu,same,female,1,625
10,1,5,32,neu,same,female,1,583
10,1,5,33,neu,same,female,1,531
10,1,5,34,neg,diff,female,1,711
10,1,5,35,neg,diff,female,1,782
10,1,5,36,pos,diff,female,1,705
10,1,5,37,pos,diff,female,1,776
10,1,5,38,neu,diff,female,1,796
10,1,5,39,pos,same,female,1,611
10,1,5,40,neu,same,female,1,580
10,1,5,41,neu,diff,female,1,832
10,1,5,42,neu,same,female,1,590
10,1,5,43,neu,same,female,1,429
10,1,5,44,pos,diff,female,1,667
10,1,5,45,neg,diff,female,1,570
10,1,5,46,neg,diff,female,1,627
10,1,5,47,neg,same,female,1,490
10,1,5,48,neg,same,female,1,483
10,1,5,49,pos,diff,female,1,843
10,1,5,50,pos,diff,female,1,812
10,1,5,51,neg,diff,female,1,680
10,1,5,52,neu,diff,female,1,857
10,1,5,53,pos,diff,female,1,653
10,1,5,54,pos,diff,female,1,697
10,1,5,55,neu,diff,female,1,685
10,1,6,1,neg,diff,male,0,NA
10,1,6,2,pos,diff,male,0,NA
10,1,6,3,neu,diff,male,1,865
10,1,6,4,pos,same,male,1,535
10,1,6,5,neg,diff,male,1,683
10,1,6,6,neu,diff,male,1,604
10,1,6,7,neg,same,male,1,750
10,1,6,8,neu,same,male,1,588
10,1,6,9,neg,same,male,1,619
10,1,6,10,neu,same,male,1,559
10,1,6,11,neu,diff,male,1,744
10,1,6,12,neu,same,male,1,534
10,1,6,13,neu,same,male,1,490
10,1,6,14,neg,diff,male,1,643
10,1,6,15,neu,same,male,1,477
10,1,6,16,pos,diff,male,1,835
10,1,6,17,neg,diff,male,1,1074
10,1,6,18,pos,same,male,1,753
10,1,6,19,neg,same,male,1,479
10,1,6,20,neu,diff,male,1,744
10,1,6,21,pos,diff,male,1,563
10,1,6,22,neu,same,male,1,412
10,1,6,23,neu,diff,male,1,712
10,1,6,24,neg,diff,male,1,671
10,1,6,25,neu,same,male,1,381
10,1,6,26,pos,diff,male,1,657
10,1,6,27,neu,same,male,1,461
10,1,6,28,pos,same,male,1,513
10,1,6,29,neu,same,male,1,527
10,1,6,30,neu,diff,male,1,688
10,1,6,31,neu,same,male,1,386
10,1,6,32,neu,same,male,1,520
10,1,6,33,neu,same,male,1,505
10,1,6,34,neu,same,male,1,488
10,1,6,35,neu,same,male,1,529
10,1,6,36,pos,diff,male,1,466
10,1,6,37,neu,same,male,1,457
10,1,6,38,pos,same,male,1,540
10,1,6,39,neg,diff,male,1,736
10,1,6,40,neu,diff,male,1,780
10,1,6,41,neu,diff,male,1,624
10,1,6,42,neu,same,male,1,468
10,1,6,43,neg,diff,male,1,635
10,1,6,44,neu,same,male,1,481
10,1,6,45,pos,diff,male,1,874
10,1,6,46,neg,diff,male,1,865
10,1,6,47,neu,diff,male,1,549
10,1,6,48,neg,same,male,1,683
10,1,6,49,neu,same,male,1,461
10,1,6,50,neu,diff,male,0,NA
10,1,6,51,neg,diff,male,0,764
10,1,6,52,neu,same,male,1,605
10,1,6,53,neg,same,male,1,638
10,1,6,54,neg,diff,male,1,533
10,1,6,55,neu,diff,male,1,744
11,1,1,1,neu,same,male,0,NA
11,1,1,2,neu,same,male,0,NA
11,1,1,3,neu,same,male,0,572
11,1,1,4,pos,diff,male,0,NA
11,1,1,5,neu,same,male,0,831
11,1,1,6,pos,same,male,1,798
11,1,1,7,pos,diff,male,1,885
11,1,1,8,pos,same,male,1,462
11,1,1,9,neu,diff,male,1,1265
11,1,1,10,neg,diff,male,1,1128
11,1,1,11,neg,diff,male,0,1057
11,1,1,12,neg,same,male,1,765
11,1,1,13,neg,same,male,1,638
11,1,1,14,pos,diff,male,1,647
11,1,1,15,neu,diff,male,1,1201
11,1,1,16,neu,diff,male,0,NA
11,1,1,17,neu,same,male,1,945
11,1,1,18,neg,diff,male,1,1336
11,1,1,19,neg,diff,male,1,876
11,1,1,20,neg,same,male,1,435
11,1,1,21,neg,same,male,1,673
11,1,1,22,neg,same,male,1,880
11,1,1,23,neu,diff,male,1,1033
11,1,1,24,neg,same,male,1,784
11,1,1,25,neu,same,male,0,724
11,1,1,26,neu,diff,male,1,1453
11,1,1,27,pos,diff,male,1,793
11,1,1,28,neg,diff,male,1,800
11,1,1,29,neu,diff,male,1,1049
11,1,1,30,neg,same,male,1,498
11,1,1,31,neu,same,male,1,702
11,1,1,32,neg,same,male,1,498
11,1,1,33,neg,diff,male,0,1214
11,1,1,34,neg,same,male,0,NA
11,1,1,35,pos,diff,male,0,NA
11,1,1,36,pos,diff,male,0,NA
11,1,1,37,pos,same,male,1,703
11,1,1,38,neu,diff,male,1,1123
11,1,1,39,neg,diff,male,1,1227
11,1,1,40,neg,diff,male,0,906
11,1,1,41,neu,diff,male,0,NA
11,1,1,42,neg,same,male,0,NA
11,1,1,43,neu,same,male,1,839
11,1,1,44,pos,diff,male,0,NA
11,1,1,45,neu,same,male,0,NA
11,1,1,46,pos,same,male,0,NA
11,1,1,47,neu,same,male,0,NA
11,1,1,48,neg,diff,male,0,NA
11,1,1,49,neu,same,male,1,871
11,1,1,50,neg,same,male,1,622
11,1,1,51,neu,same,male,0,NA
11,1,1,52,pos,diff,male,1,1498
11,1,1,53,pos,diff,male,1,1262
11,1,1,54,pos,same,male,1,482
11,1,1,55,neu,diff,male,1,412
11,1,2,1,neu,diff,male,0,NA
11,1,2,2,pos,diff,male,0,NA
11,1,2,3,neu,same,male,1,1202
11,1,2,4,neg,diff,male,1,1291
11,1,2,5,neg,diff,male,1,1111
11,1,2,6,neg,same,male,1,606
11,1,2,7,neg,same,male,1,799
11,1,2,8,neg,same,male,1,665
11,1,2,9,neg,same,male,1,468
11,1,2,10,pos,diff,male,1,939
11,1,2,11,pos,diff,male,1,895
11,1,2,12,neg,diff,male,1,795
11,1,2,13,neg,diff,male,1,1185
11,1,2,14,neg,same,male,1,584
11,1,2,15,pos,diff,male,1,676
11,1,2,16,pos,diff,male,1,707
11,1,2,17,pos,same,male,1,441
11,1,2,18,neg,diff,male,1,602
11,1,2,19,pos,same,male,0,652
11,1,2,20,neu,diff,male,1,1285
11,1,2,21,pos,same,male,0,686
11,1,2,22,neu,same,male,0,NA
11,1,2,23,pos,same,male,0,727
11,1,2,24,neu,same,male,1,896
11,1,2,25,pos,same,male,1,1004
11,1,2,26,neu,same,male,0,NA
11,1,2,27,pos,same,male,0,1235
11,1,2,28,pos,diff,male,1,1202
11,1,2,29,pos,same,male,1,859
11,1,2,30,neu,diff,male,1,799
11,1,2,31,neu,diff,male,1,985
11,1,2,32,neu,same,male,1,615
11,1,2,33,neu,same,male,1,891
11,1,2,34,neu,same,male,1,967
11,1,2,35,neu,same,male,1,465
11,1,2,36,neu,same,male,1,564
11,1,2,37,neg,diff,male,1,1070
11,1,2,38,neg,diff,male,1,892
11,1,2,39,pos,diff,male,1,760
11,1,2,40,pos,diff,male,1,969
11,1,2,41,neu,diff,male,1,867
11,1,2,42,pos,same,male,1,921
11,1,2,43,neu,same,male,0,NA
11,1,2,44,neg,diff,male,0,NA
11,1,2,45,neg,diff,male,0,1201
11,1,2,46,pos,diff,male,0,NA
11,1,2,47,neg,same,male,0,1266
11,1,2,48,pos,same,male,1,889
11,1,2,49,neu,diff,male,1,722
11,1,2,50,neu,diff,male,0,1499
11,1,2,51,neg,diff,male,0,NA
11,1,2,52,pos,diff,male,1,1047
11,1,2,53,neg,same,male,1,416
11,1,2,54,neu,diff,male,1,1020
11,1,2,55,neg,same,male,0,NA
11,1,3,1,neg,same,female,0,852
11,1,3,2,neg,same,female,1,728
11,1,3,3,pos,diff,female,1,561
11,1,3,4,neg,same,female,1,410
11,1,3,5,pos,same,female,1,1011
11,1,3,6,neu,diff,female,1,1255
11,1,3,7,neg,diff,female,0,1099
11,1,3,8,neu,same,female,0,NA
11,1,3,9,neg,same,female,1,1253
11,1,3,10,neg,diff,female,0,NA
11,1,3,11,pos,diff,female,0,NA
11,1,3,12,pos,diff,female,0,NA
11,1,3,13,pos,same,female,0,NA
11,1,3,14,pos,same,female,0,NA
11,1,3,15,neu,diff,female,0,NA
11,1,3,16,pos,same,female,0,NA
11,1,3,17,neu,same,female,0,1213
11,1,3,18,neg,diff,female,1,809
11,1,3,19,neg,diff,female,0,1250
11,1,3,20,neg,same,female,0,NA
11,1,3,21,neg,same,female,0,NA
11,1,3,22,neg,same,female,0,NA
11,1,3,23,neg,same,female,1,457
11,1,3,24,neg,same,female,1,476
11,1,3,25,pos,diff,female,1,851
11,1,3,26,neg,same,female,1,1044
11,1,3,27,pos,same,female,1,814
11,1,3,28,neu,diff,female,1,841
11,1,3,29,neg,diff,female,1,939
11,1,3,30,neu,same,female,1,911
11,1,3,31,pos,diff,female,1,829
11,1,3,32,neu,same,female,1,988
11,1,3,33,pos,same,female,1,875
11,1,3,34,pos,diff,female,0,NA
11,1,3,35,neu,diff,female,0,1113
11,1,3,36,neu,diff,female,0,NA
